match_datetime,home_team,home_score,away_score,away_team,matchweek
"DateTime.civil(2020,9,14,0,0,0,0)",brighton,1,3,chelsea,1
"DateTime.civil(2020,9,14,0,0,0,0)",sheffield,0,2,wolves,1
"DateTime.civil(2020,9,13,0,0,0,0)",spurs,0,1,everton,1
"DateTime.civil(2020,9,13,0,0,0,0)",west_brom,0,3,leicester,1
"DateTime.civil(2020,9,12,0,0,0,0)",west_ham,0,2,newcastle,1
"DateTime.civil(2020,9,12,0,0,0,0)",liverpool,4,3,leeds,1
"DateTime.civil(2020,9,12,0,0,0,0)",palace,1,0,southampton,1
"DateTime.civil(2020,9,12,0,0,0,0)",burnley,,,man_utd,1
"DateTime.civil(2020,9,12,0,0,0,0)",man_city,,,villa,1
"DateTime.civil(2020,9,12,0,0,0,0)",fulham,0,3,arsenal,1
"DateTime.civil(2020,9,19,7,30,0,0)",everton,,,west_brom,2
"DateTime.civil(2020,9,19,10,0,0,0)",leeds,,,fulham,2
"DateTime.civil(2020,9,19,12,30,0,0)",man_utd,,,palace,2
"DateTime.civil(2020,9,19,3,0,0,0)",arsenal,,,west_ham,2
"DateTime.civil(2020,9,20,7,0,0,0)",southampton,,,spurs,2
"DateTime.civil(2020,9,20,9,0,0,0)",newcastle,,,brighton,2
"DateTime.civil(2020,9,20,11,30,0,0)",chelsea,,,liverpool,2
"DateTime.civil(2020,9,20,2,0,0,0)",leicester,,,burnley,2
"DateTime.civil(2020,9,21,1,0,0,0)",villa,,,sheffield,2
"DateTime.civil(2020,9,21,3,15,0,0)",wolves,,,man_city,2
"DateTime.civil(2020,9,26,7,0,0,0)",brighton,,,man_utd,3
"DateTime.civil(2020,9,26,10,0,0,0)",palace,,,everton,3
"DateTime.civil(2020,9,26,12,0,0,0)",west_brom,,,chelsea,3
"DateTime.civil(2020,9,26,3,0,0,0)",burnley,,,southampton,3
"DateTime.civil(2020,9,27,7,0,0,0)",sheffield,,,leeds,3
"DateTime.civil(2020,9,27,9,0,0,0)",spurs,,,newcastle,3
"DateTime.civil(2020,9,27,11,0,0,0)",man_city,,,leicester,3
"DateTime.civil(2020,9,27,2,0,0,0)",west_ham,,,wolves,3
"DateTime.civil(2020,9,28,1,0,0,0)",fulham,,,villa,3
"DateTime.civil(2020,9,28,3,0,0,0)",liverpool,,,arsenal,3
"DateTime.civil(2020,10,3,10,0,0,0)",arsenal,,,sheffield,4
"DateTime.civil(2020,10,3,10,0,0,0)",villa,,,liverpool,4
"DateTime.civil(2020,10,3,10,0,0,0)",chelsea,,,palace,4
"DateTime.civil(2020,10,3,10,0,0,0)",everton,,,brighton,4
"DateTime.civil(2020,10,3,10,0,0,0)",leeds,,,man_city,4
"DateTime.civil(2020,10,3,10,0,0,0)",leicester,,,west_ham,4
"DateTime.civil(2020,10,3,10,0,0,0)",man_utd,,,spurs,4
"DateTime.civil(2020,10,3,10,0,0,0)",newcastle,,,burnley,4
